,text,description,age
70590,"RT @thickbabyrenee: Good morning 😇 imagine waking up to this view every morning 🔥☺

🍑👉🏻 https://t.co/VbSckSVu0D 

#coronavirus #COVID2019 #…",I'm not special.......Just super cool!! 😂😂,32
70592,"RT @DammitRooster: 🇺🇸Stuck at home &amp; bored during #Quarantine? 
Well, @bb_notyourwaifu &amp; I are giving away A TON of cool prizes including a…",,20
70637,"RT @Jewel4Trump: Q says [they] speak frm secret acnts, burner phones &amp; games but how do [they] decipher msgs to each other?

I allowed logi…",Woke up as the 2016 election primaries were beginning looked around and didn't recognize my country anymore..Voted Trump now I'm seeing it again happily!!,72
70709,"RT @MaleehaHashmey: Throwback to last summer, when ""self-isolation"" felt like a luxury &amp; not punishment! 💃

Three Key #Quarantine Lessons:…",,28
70753,"Agree??
#memesforfun #memes😂😍 #supriyamua #Coronavirus #covid19 #lockdown #modiji #quarantine #quarantinelife… https://t.co/RGrr9jbEzY","#meme #message #quotes #lol #motivational #alltypesofmeme #mainshayartonahi
follow on insta- crazybirdincrazyworld@gmail.com

https://t.co/V1mGFTDcaT…",30
70839,"Mussels kaffir lime leaves lemon grass garlic white wine garlic tomato thai chilli on banana leaf. 
What's in your… https://t.co/4L4lwi6SEJ",We are Tony and Terri-Lynn Kalhagen. We met in 1987 with much bigger hair. We are just trying to see the world.,33
71184,Take 403 @JoeBrolly1993 before you ask @tomas5ky @Woolberto @MartyM_RTE #longweek #quarantine #COVID19 #coronavirus… https://t.co/MfaJHBY0Ot,"Sales Manager for Frylite Ireland, Working in the Food Industry since 2002, MBA, Galway Man, all views are strictly my own.",41
71221,All it takes is an hour call with my bestie and I'm in stitches 😂 #Quarantine #INeedPlans!! 🤣,"Cancer ♋ Plymouth 🏠 Artist 🎨 Gaming 🎮 Husky Mum 🐶 Family, friends, love ❤️",29
71348,RT @erin_hartigan4: What an amazing photo,animal activist💚 ✳ 💚- pro palestine 🙏🙏- no more wars☠🖤 ➗- positive thinking good vibes💛💛💛💛HUMANITY ⚖ #resister 💙💙,19
71363,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",Hip Hopとスケートとねこが大好きです。浦和が住所生まれつきー,33
71454,"#inafishbowl March 2020, #quarantine and #lockdown in #italy due to the #covid19  #covid19italia no #children can b… https://t.co/M2WOb6XVwM","born in 1986, photographer, asthmatic, journalist, dj, avid reader, tattooed, italian, sound engineer. I'm interested in people, but i love my cat more.",34
71508,"RT @wadiridhzuwan: DAY 26 QUARANTINE its @OfficialGLEEtv time ✔️

@DiannaAgron @NayaRivera @HeatherMorrisTV 

#Glee #Gleek #ISayALittlePray…",I'm German-American and a Gleek! I was in Germany with the U.S Army since 1985. I got out in 1989 (ETS)!,35
71512,"#inafishbowl March 2020, #quarantine and #lockdown in #italy due to the #covid19  #covid19italia no #children can b… https://t.co/fqO8iI3qFA","born in 1986, photographer, asthmatic, journalist, dj, avid reader, tattooed, italian, sound engineer. I'm interested in people, but i love my cat more.",34
71550,"RT @Saru_Maini: Those good old days seem like so long ago😑
#lockdownindia #StayHomeStaySafe #StayHomeIndia #IsolationLife #Quarantine https…",,17
71592,"RT @Saru_Maini: Those good old days seem like so long ago😑
#lockdownindia #StayHomeStaySafe #StayHomeIndia #IsolationLife #Quarantine https…",,33
71636,"RT @Saru_Maini: Those good old days seem like so long ago😑
#lockdownindia #StayHomeStaySafe #StayHomeIndia #IsolationLife #Quarantine https…",,36
71762,"Who else keeps on eating Sauf (Variyali) every now and then during this #quarantine 
Sauf(Variyali) should be offic… https://t.co/fV3XOAuI6o",I'm neither anti nor Pro but just have my personal views living in a democratic country.,27
71782,Please check our latest tent work in support of medical professionals to contain the spread of Covid-19… https://t.co/JQt6Wu3II7,Leading Manufacturer of Tents and Fabric shades in the Middle East since 1997.,23
71807,RT @LaughTravelLove: #quarantine #thought on 13 April 2020: My favourite part of #TheManVideo by #TaylorSwift was the No Scooter sign 😂,Camila ❤️ XOXO #taylorswift #1989,31
71814,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",#Vegan • #Cycling • #Running • #Wife • Floridian now living in Tennessee • Painfully average • Carbon-based since 1975,45
71819,"RT @ssakshiagarwal: Did you get your Vitamin-C today?
.
Orange -my happiest colour, fruit and mood!
.
Boost your immune system this Quarant…",3.3.1994,26
71916,So its day 26...no wait day 28 ... then again it could be day 50. Oh what the hell I forgot. Hell  we're still trap… https://t.co/sQJWucyQ5c,#GaysForTrump,45
71921,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ","Born 7/6/1983, Grew up in Wabash was residing in Kokomo, now back again. Loves Music, Pro Wrestling, Cats, and Cleveland (Dad born in Akron, Uncle Chuck in pic)",37
71957,RT @jrosejunior1975: So its day 26...no wait day 28 ... then again it could be day 50. Oh what the hell I forgot. Hell  we're still trapped…,#GaysForTrump,45
71976,RT @aubrey_huff: Another @youtube recommendation during this #stayhome #quarantine. The life &amp; death of actor Issac Kappy. #HollywoodPedos…,,15
71996,"For today #video #live #djset #stream, we are very happy to open it to a new guest 😎 #Insuspect, pioneer of… https://t.co/UBc4YKB1YB","Non-profit organization, electronic events promoter since 2002, focus on #psytrance #techno #hardcore. Home of #DigitalTrance & #DigitalCore.",18
72067,"RT @andyburns1974: Quarantined Thoughts
A Refresh
Day 29
Heading back to the start, 4 weeks ago, as a reminder of how we can positively app…","Hand-in-Hand with Catherine, Courtside with Elijah, Side-by-Side with the Students of @BSB_Barcelona #BSBwellbeing and Pitchside with The Pericos🐦",46
72117,"#BritishHome #Quarantine #Activities

https://t.co/3WHhq9TsvD
What do you want to be when you grow up? https://t.co/dt5yVxNKKG","BRITISH HOME es una empresa con implantación nacional, dedicada exclusivamente a la #enseñanza de #idiomas desde 1986.",34
72133,RT @cctv_idiots: Walkies during #Quarantine  😂 https://t.co/8SNnGeDas5,Keep on rockin in a free World,38
72156,RT @cctv_idiots: Walkies during #Quarantine  😂 https://t.co/8SNnGeDas5,,49
72261,RT @realpreityzinta: क्या बात है 👀 Who says one cannot be creative during this lockdown ? Full points to this guy 👍 #stayhome #staysafe #qu…,,51
72275,"RT @UKRealNews1: While you are asleep, this guy is trying to vaccinate the world. Wake up people 
#covid19 #davidickeisright #virus #uklock…","We are all together. We are all infinite consciousness. We need to stop fighting each other, we're in this together.",20
72336,RT @SavingHongKong: #China targets #African travelers amid new wave of #coronavirus outbreak. Some African traders reported being evicted o…,香港人,16
72386,"RT @HankOnFood: #MonDaaayyy! 
#星期一! 
#Quarantine 
COVID19 Sucks!
#BrewCrew☕☕☕
@DarbyDouglasTV 
@MattGranite 
@LauraScyrkels @MrMoustacheGP…","I’m Matthew and I like my Alternative Music Since 2005, #weather every mornings, #movies at my studio to tweet everyone #sports.",15
72397,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",1942 Don Julio•Owner of fashion brand XELA CARTEL. creative director• 🇳🇬🇬🇧• Manchester United •Snapchat-@kunalexis123,78
72415,Love it !,old acc was suspended FAN ACOUNT LOVE TAYLOR swift Rep and 1989 tour.Andrea said hi at rep I cried !! TN replied on old account 20/9/2019 x1 and seen on here x2,31
72491,"RT @RjakritiR: Finally we will meeting face to face :)
Yeah #Quarantine way...so what excitement is still unparallel! So tomorrow it is 2pm…",SURBHI CHANDNA MY LIFE MY CRUSH AND MY FAMILY SHE IS WHO MATTER FOR ME FOREVER❤❤❤ @SURBHICHANDNA,23
72504,RT @workndaloubs: #YakiBoy got the print showing while working out at home. #Quarantine https://t.co/bCU1TSTwMm,"Maranhao🇧🇷
♈Ariano
 🎂20/04
  23 anos
  🙏Tudo Posso Naquele Que Me Fortalece🙌💪❣",67
72572,RT @FreshPerspecti3: Happy Easter everyone! How are you spending Bank Holiday Monday during lockdown? #happyeaster #easterbankholiday #bank…,An open enemy is better than a fake friend😇 ~ Insta maisiecd1999,21
72639,RT @realpreityzinta: क्या बात है 👀 Who says one cannot be creative during this lockdown ? Full points to this guy 👍 #stayhome #staysafe #qu…,"Java Professional.Nature,Contest,Cricket,Soccer,Gaming,Movie,Yoga Fanatic.",20
72650,RT @Actor_Mahendran: Guys Today 6pm get ready fun pannuvom 😛 questions ready pannikongha 😂😂,,14
72693,RT @SarahGABC27: I just recorded myself singing “All Too Well” by @taylorswift13 while standing fully clothed in the shower ~for acoustics~…,"💖Never Met Taylor💖 *1989 tour 5/31/15*...rep tour 8/28/18* Lover Fest 7/31/20 (Sect 111/Row 24) 🌈 Jamfest Cancelled💗3Cs Cats, Coffee, Cornelia Street.💜IFB",31
72701,"RT @Athulya_Rasigan: Happie #quarantine Morning 😁

@AthulyaOfficial #athulya #athulyaravi https://t.co/qOZ4SA3Hyd",,29
72720,"RT @TPS_India: #HappyMonday
For a better start of the week 😀😀
.
#Mondaymantra #Manicmonday #MondayMemories #Monday #MondayMotivation #Music…",Sneakers🙏,17
72809,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",If you heard something bad about me believe that shit and leave me the fuck alone,22
72819,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",🇨🇦,41
72903,"RT @pramodN5486: looks like now only god can #SaveMumbai 🙏

#BestCMOfTheWorld  @CMOMaharashtra @OfficeofUT","ADVOCATE, HIGH COURT OF MADHYA PRADESH, PRINCIPAL SEAT AT JABALPUR (MADHYA PRADESH) +919826143925",38
72924,"happy #Quarantine #EasterBoxingDay #coronavirus #QuarantineRadio #QuarantineAndChill 
https://t.co/ehHr9TpqEs",Fan acct of counterfactual 1980s band RadioFreeXebico,40
72941,RT @WestPointCOH: #oralhistory #Quarantine Video of the Day!  Father Phil Salois was a young Soldier in Vietnam when he made a promise to G…,I am a amateur modeller and painter of Miniatures 1/35 on #KoreaWar and #VietnamWar (1955 - 1975) *In girum imus nocte et consumimur igni ... #LexTalionis*,65
73010,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",Life is beautiful!,44
73153,"Vayrus Fashion Week, ok... 😴 Keep safe my friends 🙏😎
What do you do in this boredom?🤔
#stayhome #staysafe… https://t.co/OLLSL649PH","🇧🇷 Music Composer, Lover of Synthwave and Italo Disco
Born in 2000 🇧🇷
🇧🇷 Brazilian😎
Need a podcast editor or an instrumental for your songs? Contact me!",20
73162,RT @SurbhiChandna: Took a While but here i am going to be live finally with the darling Akriti #redfmindia #2pm,SURBHI CHANDNA MY LIFE MY CRUSH AND MY FAMILY SHE IS WHO MATTER FOR ME FOREVER❤❤❤ @SURBHICHANDNA,23
73221,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",,63
73242,RT @Jewel4Trump: Many have also been pushed into public view as a result of scandal like #DuchessOfYork #Fergie who’s been in #Quarantine w…,MAGA TRUMP2020 Proud member of AA. Have MS and Parkinson's. Say what I want and never do PC. This is my 8th account. Here for The Greatest President #Trump2020,14
73449,"RT @TeamSChandna: Set your alarm at 2.00 Pm tomorrow. ✨
#SurbhiChandna #Scians
@SurbhiChandna @RjakritiR @RedFMIndia",SURBHI CHANDNA MY LIFE MY CRUSH AND MY FAMILY SHE IS WHO MATTER FOR ME FOREVER❤❤❤ @SURBHICHANDNA,23
73592,RT @vipinrocs: World's best CM @officeofUT exposed by @PawarSpeaks owned @SakalMediaNews group. Have you seen this @CAPratikKarpe @DEVenDra…,!!!जय हिंद. जय हमारा प्यारा हिंदुस्तान !!!,31
73665,"Our Milk &amp; Dairy products are available at your doorstep. 
For Delivery Call: 9866631233, 9100095552, 9100915553
Vi… https://t.co/9ancL5Wut4","Saraswati Dairy Products is a family-run, dairy products manufacturing company in Hyderabad. We started our company 60 years back and was incorporated in 2008.",12
73745,16bars #swatirap,"2000 millennium kids
https://www.facebook.com/DOUBBie-gang-SA-1583630321770636/

Umsoco track link

https://www.slikouronlife.co.za/song/111524/umsoco",20
73831,RT @BlazyGardener: Some sound #Quarantine advice from #BetterCallSaul https://t.co/tH5XenwRwA,,45
73867,Dancing in nature 🖤 jbpliveclass choreography!!! Thank you for the live class! Music 🎵 #billieeilish #crown #dancer… https://t.co/Dsvk7UwcH2,London based Professional dancer. https://m.youtube.com/watch?feature=youtu.be&v=5gLNBBiO0bs,36
73906,RT @PgKatee: Good Morning ☀️ Hope you all have a great week and #StaySafe. Another week of #Quarantine and #WorkFromHome. Enjoy the sunny d…,18 + looking to have a little fun love beautiful ladies. member #Gentlemensclub My header is the sexy seductive @mofitcouple,20
73970,Yeah! MFers!!!,Working class advocate and political activist with the MSJ. Supporter of logical thinkers. Liverpool fan since 1985. Ras Tafari!,35
73995,Absolutely ! #true #gaming #gamers #videogames #videogaming #GamersUnite #QuaratineLife #Isolation #IsolationLife… https://t.co/8dObT4hqxh,"Smarter than the average bear 🐻
Comedy Legend, Compére, DJ, Singer, Bar Minion, Chef, Manchester City Fan, Whovian, Video Gamer.
PSN : Keyhole_1980",40
74041,"😉 !...Quarnatine...! 😉

#Quarantine #BharathWaj #BharathWaj03 #StayAtHome #StayAtHomeSaveLives https://t.co/pGffMTmSG1","20/08/1999 👶
#Appa #Amma #CuteBoy 👪
Basketball Life 🏀
Sports 🏅
Luv Music 🎶
Murugan Bakthan 🙏
Like Travel 🚗🛵
BCA 3rd year 👨‍🎓
KARE 💗
#bharathwaj03",21
74147,"RT @MenchTech: These people are not handling it well, but it’s still hilarious 😷😂 #Quarantine #QuarantineProblems #LockdownNow",,20
74169,"I’m a 7. We’re pushing an 8 at times! #Quarantine #Covid19 What stage are you, @garthbrooks ? 😂 #AskGarth #StudioG… https://t.co/CWTptSlWH4",2007💙 2019💜,13
74244,"RT @wifeycakes82: 37 year old italian/canadian wife and mom here
https://t.co/5gJIW6Luw6 
Come enjoy #quarantine with a 5' 99lb #milf
1on1…",#TeamKRC I http://onlyfans.com/TheNaughtyHippy  l https://www.manyvids.com/Profile/1001961145/TheNaughtyHippy/Store/Videos/,59
74261,"RT @mistaslimjim: Spring Cleaning this weekend. 🧹🪒
#Quarantine #verslife #dick #ass https://t.co/9GIxYSTCxq",Latino 8inch uncut dick. looking to play. check out my page https://onlyfans.com/chicago8uncut,63
74279,RT @JeremyRenner: A different kind of SUNDAY drive #quarantine https://t.co/7TzatzIyd6,Remain Curious,24
74325,"RT @MoviesMatrix: Hypothetically, if these four CBMs were all debuting together the first weekend after #quarantine ends, which movie would…",Robert Pattinson fan account. You can called me Sessed. It doesn't bother me.😎 Not a bot. The numbers behind my name are for a birthday.,34
74418,"RT @AmourFrancaise: This is the beggining of a hot video, quarantine is such a turn on for us
Follow us https://t.co/2wkdbP2CE0

#bigcock #…",Insta vitormartins.1991,29
74425,"RT @IronSharpensIr4: 💀💀💀💀💀RIGHT💀💀💀💀💀
#WakeUpAmerica #Quarantine #Family","I am a servant of the Lord, and have been a red pilled citizen since 1984, believe it or not.",36
74540,You know wh0 is laughing at all of us #Quarantine #Covid_19 #selfisolating? ..... #ApocalypsePreppers 😂 https://t.co/rJCnZjXnS3,"We do not remember the days, we remember the moments...",41
74569,"#quarantine 🌇 Day 3️⃣0️⃣
•
Thankful to all the every day heroes ❤️🧡💛💚💙💜💖
•
This is my own variation on the rainbow… https://t.co/rtpSkVNeEl",Type 1 circa 1983 | #PwD | DIY Looper since 2019 | Empowered by the #DOC & #WeAreNotWaiting communities | #LanguageMatters | My own views,37
74651,"RT @rtehrani: IRS: First batch of coronavirus stimulus checks have been sent https://t.co/5OCt6stWmr

#CoronaVirus #CoronaVirusOutbreak #CO…","🗽🇺🇸 LOYAL AMERICAN, FAMILY MAN  🇺🇲🗽
MAGA2020 TRUMP IS GREATEST PRESIDENT EVER! Witty, clever, & articulate.  President Of Petoria since July 14, 2000. KAG",20
74706,RT @SavingHongKong: #China targets #African travelers amid new wave of #coronavirus outbreak. Some African traders reported being evicted o…,Born In 1972 • Raised In Hong Kong • Love Freedom & International Perspective • 光復香港/ 時代革命 • #FollowBackHongKong #Fightforfreedom #StandwithHK,48
74729,"RT @vonema: This is hilarious: a poster outside Leuven prison says “We are staying inside, are you?” 

#Belgium #COVIDー19 #Quarantine https…","System anslyist and programmer (java-html-css-javascript) specialized in commercial applications.
(Belgian)",58
74794,"These #Millennials are spending their #Quarantine being of service others. 

Pull up a seat and a sewing machine!… https://t.co/LjUKU89SEc",Experienced Business Leader escaped from large multinationals to run own businesses (Yes 3 of them!). Small is beautiful! http://tinyurl.com/6gfqn63,20
74805,"RT @dannyantell: It really sucks that Coronavirus hit during Allergy Season....
I can't tell if I have 5 days to live or if I need to take…","USAF MSgt 23yrs / OTR Truck Driver 21yrs / City School Bus Driver 5yrs. Now, Full time Retired. Multiple Myeloma Remission 2006. ARS: WA4RXK 1976 #MAGA #2A",14
74905,"RT @wifeycakes82: 37 year old italian/canadian wife and mom here
https://t.co/5gJIW6Luw6 
Come enjoy #quarantine with a 5' 99lb #milf
1on1…","male.  33. lover of thigh highs, sexy feet and gorgeous women.  dms are open for pics and to just shoot the shit. header is @sugertits6868. Avi @Kimberly_1J",36
74915,I'm feeling quite playful this morning. Why not call me for some play time? Let's phone fuck and just forget the wo… https://t.co/Wi6w2ZMo6p,"There's so much more to me than my red hair you know. Call me and let's play together. The more extreme, the better. 
877-925-1972",48
74936,RT @realpreityzinta: क्या बात है 👀 Who says one cannot be creative during this lockdown ? Full points to this guy 👍 #stayhome #staysafe #qu…,n  k,52
74962,"RT @TeamSChandna_T: 🎉|•  wait is over. 
Fix your schedule tomorrow to catch
Live of  @SurbhiChandna on @RedFMIndia with @RjakritiR at 2.00…",Dreamer/Foodie/TV Buff,30
74989,RT @SurbhiChandna: Took a While but here i am going to be live finally with the darling Akriti #redfmindia #2pm https://t.co/6zWRi9ttIb,Dreamer/Foodie/TV Buff,30
75146,RT @umama_younus: #SurbhiChandna fans u guys are excited???💃💃💃💃,Dreamer/Foodie/TV Buff,30
75156,"Day 19 of working from home. We keep ourselves motivated by reading good books during office time. 

#WorkFromHome… https://t.co/yD2SsxSOKP","#seo❣️
Sr. Digital Marketing Executive @i_vipanan
Community - @girlinneighbour",26
75176,"RT @Rudy_McClout: Happy #RÜSDAY to you and yours, #Quarantine mara moshito o tswela pele! Check out fastLANE by Rudy below:

Full vid: http…","• I make M U S I C 
• Indie
• Discography 💿http://slikouronlife.co.za/artist/1946 
• Contact : greedmzq@gmail.com",74
75202,'We've got to lift up the spirits': Front yards are the new entertainment spaces during COVID-19 (CTV News) -… https://t.co/JlE9axyOAn,"Obsessed with search engines, info collections, and databases since forever. News and resources covering same since 1998. Wrote a stack of books. Say hi.",22
75245,"Check out how @khloekardashian celebrated her daughter's #Birthday during #Quarantine 
https://t.co/dxEmRRRLn5","Egypt's #1 Hit Music Station! Bringing you the world's biggest artists and songs, the hottest DJs, and all the entertainment news since 2003! #NileFM",17
75304,"RT @NilesGApol: Here's another #Quarantine game...

Here are all 100 U.S. Senators. Take a screenshot and the one that you land on is your…",independent voter🗳,14
75361,"""Cultivation of mind should be the ultimate aim of human existence""... B. R. Ambedkar.

#BLUECLUB #Rajkot #Covid19… https://t.co/RyT2DGLSHv","https://youtu.be/3UOxwBml970
We have got everything that your heart could desire.",32
75394,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",Greats let the dreams of a ring motiv8 Let’s see if all that trash talkin’ starts when it’s 0-0,27
75414,Someone wants nothing to do with this rainy Monday morning. #socialdistancing #stayhome #quarantine #quarentinelife https://t.co/bYNSKK6m9f,,49
75460,"RT @knowthenation: Just for fun: Which house would you rather be in?

#Quarantine #IndiaFightsCorona #StayHome #COVID2019 https://t.co/YC2P…",Bharat first. No DM please. RTs what I like.    Least interested in abusers..  Abusers will be blocked 🙏,15
75462,RT @PgKatee: Good Morning ☀️ Hope you all have a great week and #StaySafe. Another week of #Quarantine and #WorkFromHome. Enjoy the sunny d…,,12
75537,RT @marshawright: I know you're on #lockdown... But imagine you're here right now!!!Corona can't take this moment from you. And while I can…,A writer with an insatiable lust for words. A poetess who knows the dark secrets you keep. Live life like tomorrow never exists.,43
75559,"When you find out your normal daily lifestyle is called “quarantine” 
#quarantine #life #corona https://t.co/bAVvlW5kWa",Since 1989 Entrepreneur | Owner Manuel Caffè NL | Mom of hyper-realistic drawing artist @rajacenna | ex-superwoman | totally crazy | 50+ | Ghosthunter,31
75714,"RT @DammitRooster: 🇺🇸Stuck at home &amp; bored during #Quarantine? 
Well, @bb_notyourwaifu &amp; I are giving away A TON of cool prizes including a…",,18
75715,"RT @bb_notyourwaifu: Stuck at home &amp; bored during #Quarantine? 
Well, @DammitRooster &amp; I are giving away A TON of cool prizes including a #…",,18
75855,RT @MalaikaBilal44: Best Live with Best Youtuber Nadir Ali💞JazakAllah @AhmedRazaQadri for being the Best #TrendSetter♥️ Thanks for Spreadin…,( 🇵🇰/🇸🇦/🇹🇷 )му яєαℓ α¢¢👉🏻@golden26__,18
75894,"RT @IronSharpensIr4: 💀💀💀💀💀RIGHT💀💀💀💀💀
#WakeUpAmerica #Quarantine #Family","Christian, American, husband, dad, sales rep/road warrior, #MAGA, #USMC '77-'81, #MAGAveteran, Follow me, I will follow you back!",61
75908,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ",,57
75915,"RT @AngelicaKamen: Let's keep praying that G-d may destroy the virus and bless us all with health and safety! Amen!

Be safe and well!!

🥳L…",Plastelinian Jew secretly helping Zionists since 1953 by not missing any opportunity to miss an opportunity. Easily molded to fit any anti-semantic narrative.,67
75932,"Face Hugger Protection Time ? ⏱ 😱 😱

https://t.co/mmxBTz6wzh

#Isolation #Quarantine #QuarantineLife… https://t.co/gqzr7Sb24h","https://t.co/UCiUwcIML7 has been the world's most popular web-based Alarm Clock since 2006. ⏰ We keep it simple, because simple is good. https://t.co/LEB4EY57vT",14
75958,When boredom hits you during quarantine 🦄 #quarantine #quarantaine #lockdown #selfie #selfpick #driedubbel #bored @… https://t.co/M5xIzQP8gI,,25
75979,RT @finding_my_way7: Happy #TittyTuesday! Hope everyone is staying safe during this #Quarantine #lockdown!!! #bbw #tits #mom #milf #nude #n…,For the lust of curvy older ladies and anything else I find appealing... snap - markb101267,53
75984,"RT @FightingShoes: 📣 New Podcast! ""Impending Doom Fizzles, Dystopia Remains"" on @Spreaker #ancap #authoritarian #brave_new_world #ccp #coro…",#Hoppean/#Rothbardian/#Misesian #ancap #libertarian; NewEngland chick; mum; Fmr #USNavy AO3(AW)/Op AlliedForce vet (1996-2002); #Independent #Scientologist.,24
76004,"RT @FoodieDiaries: A few of of our favourite things to inspire #quarantine baking. Dark chocolate, caramel and sea salt... https://t.co/ltq…",,53
76064,RT @vivekagnihotri: Any idea where is this? #Quarantine https://t.co/6kjzB3La79,,25
76214,"RT @BitLifeApp: Have you found yourself actually MISSING your coworkers while stuck at home? No problem, add them in BitLife and terrorize…",,37
76268,RT @vivekagnihotri: Any idea where is this? #Quarantine https://t.co/6kjzB3La79,,21
76432,"Turn It Up Tuesday Thread

Celebrating those wifflers who bring a fun energy; the life of every wiffle party.… https://t.co/s6jrEfc556","The SWBL was established in 2003 and is the premiere competitive wiffleball league in St. Louis, MO.",17
76483,"RT @ScrippsHealth: With all of the stress and uncertainty surrounding #COVID19, it's more important than ever to manage stress and take car…","Since 2008, the Malta Clinic of Northern CA provides free diagnostic and clinical care to over 60,000 underserved and uninsured patients across 8 specialties.",12
76505,"RT @RuizBurgosArt: SIX FANARTS: 5. THE MASK 👀🤢
**I’m not accepting requests! I’ve already chose them from a stories poll a couple days ago.…",19/artist/gamer/movie lover other accounts @terra05alt @blockbusterguy i retweet NSFW so beware #actuallyautistic,20
76613,"RT @MiztressSophieX: While your in #Quarantine treat yourself and wank from home 😜

🔥👉https://t.co/aTswpy4jhT👈🔥 https://t.co/rp9VHv3p4p",( Adult ) #MooiGirlz #FantasyDivas #TeamFatman #QoF 💖 @webcamdream1 💖 @StarMoo71949688 @IllusiveIris @ClumsyKMFC @Pinup93 @NikiSpencer90 @BabyMarina7,71
76713,RT @neyuhsama: Here you are a photo in my newest set and without photoshop. Because I haven't tried photoshop a photo with oil before so st…,"my new toy slave Toni anne
kik MasterMoody snap mastermoody77 skype mastermoody1977 oovoo MasterMoody bbm 7BD165E4",43
76785,RT @vivekagnihotri: Any idea where is this? #Quarantine https://t.co/6kjzB3La79,,36
76801,"RT @PaulNiland: Meaning that 15% of Ukrainians are planning to go to church? @ZelenskyyUa should outlaw it, immediately.",,23
76894,"RT @PjMann2016: #Quarantine deals! If you feel stuck at home, indulge in a compelling read. #awardwinning #psychologicalthriller A Tale of…","Newsletter: http://subscribepage.com/lfnewsletter ~ Writer of steamy and/or romantic words, fingers in many pies. http://lucyfelthouse.co.uk",35
77101,RT @adrianachechik: Don’t miss out on all the double action!! https://t.co/gG24AFECHo has all the #Quarantine entertainment you need!! http…,"Grew up and now in Portland, Born on New Year Day 1992  so yeah that cool man!",28
77122,"RT @LauraPSalas: Red Balloon is the best! @RedBalloonBooks 
https://t.co/v8qdZTeY3I","Locally-owned, independent children's bookstore since 1984! 🎈http://www.redballoonbookshop.com",36
77125,"""For many students, who can’t see their friends and educators, just knowing that someone is still thinking of them… https://t.co/ZoT6iviAAq","International non-profit organization which empowers children through skateboarding and education in Afghanistan, Cambodia and South Africa since 2008.",12
77151,layalabboud #keep_going#stay_home#nature#sun#lebanon#life#quarantine#stay-safe#be-careful#peace# https://t.co/upGADSaRwU,,34
77156,Day 20 of working from home. Enjoy your life at fullest in Lockdown 2. Life is precious and we must live every mome… https://t.co/6mcaajR7Bf,"#seo❣️
Sr. Digital Marketing Executive @i_vipanan
Community - @girlinneighbour",26
77164,RT @futanariland: Quarantine not stopping me 😊 #Quarantine #selfsuck https://t.co/VH7oqtJ7lt,Love big dick hunk sexy black m'en #big Dick #big Dick gay love men,29
77203,"“Lets make the most of this #quarantine and learn new skills..... "" #MotivationalLife #MotivationalLiving… https://t.co/iNKS2jW3Bx","Birth in #Africa: #Congo #Kinshasa #Zaïre #RDC
Tags:
#Nature #HolisticTherapies 
#Accounting #Management #Economy 
#Sports like #Rugby
#FunVideos
#Cruising",54
77338,"RT @WuTangClan: Stay home. #wutang is forever.
#quarantine #firstresponders #positivevibes #who https://t.co/7s1pWrufRQ","SKATEBOARDING ! 🛹

1995

Me quejo de todo y no creo en nada.
Me aburro fácil y siempre tengo hambre.

Apolítico.",25
77454,"RT @marcel_hanway: Happy #Easter, everyone! 🐣🐇🐰 Come check out my @OnlyFans https://t.co/nwvDa0fAga for some #hot #new #Exclusive content.…",Ex-LDS Mormon ⛪️ 🙏🏼 Mexican & Native American (Northern Arapaho) 🇺🇸 🦅 EST.1994 | Pisces ♓ L(G)BTQ+ 🌈👬🏽 CashApp:$MarcelinoHanway Venmo: Marcel-DeVitto,26
77566,STRONG trade paperback talk last night. Looking forward to posting this one.,"Co-creator of http://McSoss.com, purveyors of snarky webcomics, podcasts and reviews since 2008.",12
77721,RT @tubeliteforlife: Use your inner elbows and hands to cover your mouth while sneezing 🤧 or coughing. This stops germs 🦠 from infecting pe…,A human. Being.,23
77725,RT @tubeliteforlife: Your dresses 👗👕👖run the risk of catching the virus 🦠if you are outdoor. Use gloves 🧤to wash them. Wash your hands and…,A human. Being.,23
